continent,year,month,US_imports,US_exports,US_trade_deficit,US_ unemployment_rate,US_housing_price_index,number_of_covid_cases_US,number_of_covid_deaths,global_container_freight_index
Mexico,2020,Jul,29069.70208,18471.60794,10598.09414,10.2,296.61,1940971,30604,1762
Mexico,2020,Aug,29771.7489,16998.52621,12773.22269,8.4,300.72,1478495,30610,1946
Mexico,2020,Sep,29857.18653,18715.15269,11142.03384,7.9,304.59,1220261,21822,2247
Mexico,2020,Oct,33113.19932,20442.68416,12670.51516,6.9,307.83,1935667,24008,2231
Mexico,2020,Nov,29864.51422,19256.67987,10607.83435,6.7,310.16,4432394,41976,2443
Mexico,2020,Dec,29580.24457,19455.77818,10124.46639,6.7,312.32,6373304,82375,3143
Mexico,2021,Jan,29040.93815,19483.03884,9557.89931,6.4,315.03,6088193,97856,4087
Mexico,2021,Feb,27428.03642,21046.1731,6381.86332,6.2,319.68,2342966,61920,4302
Mexico,2021,Mar,33399.16338,23508.51708,9890.6463,6,327.16,1795768,32013,4111
Mexico,2021,Apr,32177.2624,22558.42882,9618.83358,6,334.92,1844608,20769,4375
Mexico,2021,May,31370.57213,22799.78336,8570.78877,5.8,342.48,897760,16312,5165
Mexico,2021,Jun,33023.9538,24133.50329,8890.45051,5.9,348.93,392130,9505,6217
Mexico,2021,Jul,31908.36315,23660.98316,8247.37999,5.4,353.89,1378269,9450,8848
Mexico,2021,Aug,32088.43538,24181.03957,7907.39581,5.2,356.45,4245784,33309,10323
Mexico,2021,Sep,32048.15121,22784.09769,9264.05352,4.7,358.8,4101005,54479,10839
Mexico,2021,Oct,34357.85342,24472.96084,9884.89258,4.6,361.55,2433668,42996,10194
Mexico,2021,Nov,34621.60172,24089.24274,10532.35898,4.2,361.59,2561250,30393,9353
Mexico,2021,Dec,34621.6094,24089.22706,10532.38234,3.9,361.62,6340666,37560,9293
