continent,year,month,US_imports,US_exports,total_trade,US_trade_deficit,US_ unemployment_rate,US_housing_price_index,number_of_covid_cases_US,number_of_covid_deaths,global_container_freight_index
Mexico,2019,Dec,27507.4928,18950.83628,46458.32908,8556.65652,3.6,279.34,0,0,1446
Mexico,2020,Jan,28299.74495,20754.22406,49053.96901,7545.52089,3.5,280.38,4,0,1514
Mexico,2020,Feb,29036.69651,19170.86799,48207.5645,9865.82852,3.5,283.64,66,2,1331
Mexico,2020,Mar,30080.9818,19685.37471,49766.35651,10395.60709,4.4,286.34,212592,4947,1400
Mexico,2020,Apr,15816.89943,12413.88841,28230.78784,3403.01102,14.7,288.64,878237,60329,1439
Mexico,2020,May,14913.74,10404.12278,25317.86278,4509.61722,13.2,289.54,743386,41797,1459
Mexico,2020,Jun,25807.22765,15712.11375,41519.3414,10095.1139,11,293.23,860959,20649,1785
Mexico,2020,Jul,29069.70208,18471.60794,47541.31002,10598.09414,10.2,296.61,1940971,30604,1762
Mexico,2020,Aug,29771.7489,16998.52621,46770.27511,12773.22269,8.4,300.72,1478495,30610,1946
Mexico,2020,Sep,29857.18653,18715.15269,48572.33922,11142.03384,7.9,304.59,1220261,21822,2247
Mexico,2020,Oct,33113.19932,20442.68416,53555.88348,12670.51516,6.9,307.83,1935667,24008,2231
Mexico,2020,Nov,29864.51422,19256.67987,49121.19409,10607.83435,6.7,310.16,4432394,41976,2443
Mexico,2020,Dec,29580.24457,19455.77818,49036.02275,10124.46639,6.7,312.32,6373304,82375,3143
Mexico,2021,Jan,29040.93815,19483.03884,48523.97699,9557.89931,6.4,315.03,6088193,97856,4087
Mexico,2021,Feb,27428.03642,21046.1731,48474.20952,6381.86332,6.2,319.68,2342966,61920,4302
Mexico,2021,Mar,33399.16338,23508.51708,56907.68046,9890.6463,6,327.16,1795768,32013,4111
Mexico,2021,Apr,32177.2624,22558.42882,54735.69122,9618.83358,6,334.92,1844608,20769,4375
Mexico,2021,May,31370.57213,22799.78336,54170.35549,8570.78877,5.8,342.48,897760,16312,5165
Mexico,2021,Jun,33023.9538,24133.50329,57157.45709,8890.45051,5.9,348.93,392130,9505,6217
Mexico,2021,Jul,31908.36315,23660.98316,55569.34631,8247.37999,5.4,353.89,1378269,9450,8848
Mexico,2021,Aug,32088.43538,24181.03957,56269.47495,7907.39581,5.2,356.45,4245784,33309,10323
Mexico,2021,Sep,32048.15121,22784.09769,54832.2489,9264.05352,4.7,358.8,4101005,54479,10839
Mexico,2021,Oct,34357.85342,24472.96084,58830.81426,9884.89258,4.6,361.55,2433668,42996,10194
Mexico,2021,Nov,34621.60172,24089.24274,58710.84446,10532.35898,4.2,361.59,2561250,30393,9353
Mexico,2021,Dec,34621.6094,24089.22706,58710.83646,10532.38234,3.9,361.62,6340666,37560,9293
