year,continent,country,IYR,EYR,Trade_deficit,Average of US_ unemployment_rate,Average of US_housing_price_index,Sum of number_of_covid_cases_US,Sum of number_of_covid_deaths
2019,Asia,Malaysia,40510.42488,13187.77514,27322.64974,3.68,274.48,0,0
2020,Asia,Thailand,37610.81673,11276.51527,26334.30146,8.09,296.17,120458016,2154714
2019,Asia,Thailand,33443.52775,13303.14614,20140.38161,3.68,274.48,0,0
2020,Asia,Singapore,30825.43205,26929.22983,3896.20222,8.09,296.17,120458016,2154714
2021,Asia,Singapore,27247.0436,32534.53759,-5287.49399,5.36,345.18,206532402,2679372
2019,Asia,Singapore,26394.92856,31193.68358,-4798.75502,3.68,274.48,0,0
2021,Asia,Indonesia,24409.61743,8586.80932,15822.80811,5.36,345.18,206532402,2679372
2020,Asia,Indonesia,20214.75919,7395.648708,12819.11048,8.09,296.17,120458016,2154714
2019,Asia,Indonesia,20108.47812,7731.258995,12377.21913,3.68,274.48,0,0
2019,Asia,Israel,19531.13479,14402.55415,5128.58064,3.68,274.48,0,0
2021,Asia,Israel,16917.74144,11646.63485,5271.10659,5.36,345.18,206532402,2679372
2020,Asia,Israel,15247.24052,10188.22339,5059.01713,8.09,296.17,120458016,2154714
2019,Asia,Saudi Arabia,13403.88466,14482.98681,-1079.10215,3.68,274.48,0,0
2021,Asia,Philippines,12722.04826,8312.900834,4409.147426,5.36,345.18,206532402,2679372
2019,Asia,Philippines,12663.77175,8641.028524,4022.743226,3.68,274.48,0,0
2021,Asia,Saudi Arabia,11850.62137,10057.33848,1793.28289,5.36,345.18,206532402,2679372
2020,Asia,Philippines,11139.27197,7738.750935,3400.521035,8.09,296.17,120458016,2154714
2020,Asia,Saudi Arabia,8991.596284,11109.26433,-2117.668046,8.09,296.17,120458016,2154714
2021,Asia,Cambodia,8018.207241,378.085119,7640.122122,5.36,345.18,206532402,2679372
2020,Asia,Hong Kong,7895.716539,23848.94768,-15953.23114,8.09,296.17,120458016,2154714
2021,Asia,Bangladesh,7412.142172,2004.021677,5408.120495,5.36,345.18,206532402,2679372
2019,Asia,Iraq,7025.133459,1189.168924,5835.964535,3.68,274.48,0,0
2019,Asia,Bangladesh,6674.435746,2339.320099,4335.115647,3.68,274.48,0,0
2020,Asia,Cambodia,6562.39336,343.851096,6218.542264,8.09,296.17,120458016,2154714
2020,Asia,Bangladesh,6070.979586,1851.853154,4219.126432,8.09,296.17,120458016,2154714
2021,Asia,United Arab Emirates,5381.230701,15215.44697,-9834.216269,5.36,345.18,206532402,2679372
2019,Asia,Cambodia,5337.11993,513.93936,4823.18057,3.68,274.48,0,0
2021,Asia,Pakistan,4791.920619,2966.086791,1825.833828,5.36,345.18,206532402,2679372
2019,Asia,Hong Kong,4729.05713,30788.09884,-26059.04171,3.68,274.48,0,0
2019,Asia,United Arab Emirates,4354.700934,19974.29757,-15619.59664,3.68,274.48,0,0
2019,Asia,Pakistan,3920.761316,2648.162975,1272.598341,3.68,274.48,0,0
2020,Asia,Pakistan,3899.977578,2911.768919,988.208659,8.09,296.17,120458016,2154714
2021,Asia,Hong Kong,3702.632784,27277.96861,-23575.33583,5.36,345.18,206532402,2679372
2021,Asia,Iraq,3218.695896,725.570849,2493.125047,5.36,345.18,206532402,2679372
2020,Asia,Iraq,3099.838082,770.124844,2329.713238,8.09,296.17,120458016,2154714
2020,Asia,United Arab Emirates,3053.817475,14721.41907,-11667.6016,8.09,296.17,120458016,2154714
2019,Asia,Sri Lanka,2745.342458,389.998611,2355.343847,3.68,274.48,0,0
2021,Asia,Sri Lanka,2584.756865,359.485838,2225.271027,5.36,345.18,206532402,2679372
2021,Asia,Jordan,2504.487782,1120.382182,1384.1056,5.36,345.18,206532402,2679372
2020,Asia,Sri Lanka,2443.561997,359.154519,2084.407478,8.09,296.17,120458016,2154714
2019,Asia,Jordan,2169.355344,1492.355539,676.999805,3.68,274.48,0,0
2020,Asia,Jordan,1869.596368,1318.932788,550.66358,8.09,296.17,120458016,2154714
2021,Asia,Qatar,1714.151454,2058.645198,-344.493744,5.36,345.18,206532402,2679372
2019,Asia,Qatar,1694.289145,6456.796996,-4762.507851,3.68,274.48,0,0
2021,Asia,Oman,1627.466203,1274.24845,353.217753,5.36,345.18,206532402,2679372
2019,Asia,Kuwait,1418.102403,3170.866654,-1752.764251,3.68,274.48,0,0
2020,Asia,Qatar,1180.688739,3410.729155,-2230.040416,8.09,296.17,120458016,2154714
2019,Asia,Oman,1145.62044,1936.843763,-791.223323,3.68,274.48,0,0
2019,Asia,Bahrain,1050.298948,1406.459305,-356.160357,3.68,274.48,0,0
2021,Asia,Bahrain,1047.788046,848.182785,199.605261,5.36,345.18,206532402,2679372
2020,Asia,Burma,1027.208274,338.944431,688.263843,8.09,296.17,120458016,2154714
2021,Asia,Kuwait,913.084518,2837.60755,-1924.523032,5.36,345.18,206532402,2679372
2021,Asia,Burma,855.094752,205.633118,649.461634,5.36,345.18,206532402,2679372
2019,Asia,Burma,821.457635,346.818656,474.638979,3.68,274.48,0,0
2020,Asia,Oman,814.667423,1129.863595,-315.196172,8.09,296.17,120458016,2154714
2020,Asia,Kuwait,714.241864,2218.620122,-1504.378258,8.09,296.17,120458016,2154714
2020,Asia,Bahrain,636.48064,884.910882,-248.430242,8.09,296.17,120458016,2154714
2020,Asia,Lebanon,194.409434,677.614818,-483.205384,8.09,296.17,120458016,2154714
2021,Asia,Laos,193.709847,25.880706,167.829141,5.36,345.18,206532402,2679372
2021,Asia,Uzbekistan,183.982828,385.182348,-201.19952,5.36,345.18,206532402,2679372
2021,Asia,Lebanon,177.841107,600.23752,-422.396413,5.36,345.18,206532402,2679372
2019,Asia,Lebanon,150.187313,1004.205515,-854.018202,3.68,274.48,0,0
2019,Asia,Laos,149.044717,17.07293,131.971787,3.68,274.48,0,0
2021,Asia,Macau,131.764222,199.394384,-67.630162,5.36,345.18,206532402,2679372
2020,Asia,Laos,104.571196,24.556801,80.014395,8.09,296.17,120458016,2154714
2019,Asia,Macau,103.031672,572.01419,-468.982518,3.68,274.48,0,0
2020,Asia,Macau,101.381635,183.074318,-81.692683,8.09,296.17,120458016,2154714
2021,Asia,Nepal,99.174943,110.966072,-11.791129,5.36,345.18,206532402,2679372
2019,Asia,Nepal,90.936633,122.510559,-31.573926,3.68,274.48,0,0
2020,Asia,Nepal,86.383108,93.648576,-7.265468,8.09,296.17,120458016,2154714
2020,Asia,Brunei,83.103198,120.018826,-36.915628,8.09,296.17,120458016,2154714
2020,Asia,Uzbekistan,80.711979,181.074326,-100.362347,8.09,296.17,120458016,2154714
2021,Asia,Armenia,79.911168,39.62281,40.288358,5.36,345.18,206532402,2679372
2020,Asia,Armenia,68.075637,27.896311,40.179326,8.09,296.17,120458016,2154714
2019,Asia,Armenia,55.104713,52.903054,2.201659,3.68,274.48,0,0
2019,Asia,Brunei,41.428564,287.86121,-246.432646,3.68,274.48,0,0
2019,Asia,Afghanistan,38.744074,757.769159,-719.025085,3.68,274.48,0,0
2019,Asia,Uzbekistan,34.187981,505.539432,-471.351451,3.68,274.48,0,0
2019,Asia,Maldives,25.256402,39.39258,-14.136178,3.68,274.48,0,0
2019,Asia,Mongolia,24.415733,192.845306,-168.429573,3.68,274.48,0,0
2021,Asia,Turkmenistan,21.989168,73.838417,-51.849249,5.36,345.18,206532402,2679372
2021,Asia,Afghanistan,20.424061,244.69867,-224.274609,5.36,345.18,206532402,2679372
2020,Asia,Afghanistan,16.969532,670.662675,-653.693143,8.09,296.17,120458016,2154714
2021,Asia,Brunei,16.834984,95.341889,-78.506905,5.36,345.18,206532402,2679372
2019,Asia,Turkmenistan,16.232334,28.514466,-12.282132,3.68,274.48,0,0
2021,Asia,Mongolia,15.781772,128.868975,-113.087203,5.36,345.18,206532402,2679372
2020,Asia,Turkmenistan,13.887107,32.904915,-19.017808,8.09,296.17,120458016,2154714
2020,Asia,Maldives,13.683345,24.666278,-10.982933,8.09,296.17,120458016,2154714
2021,Asia,Maldives,13.426322,36.51624,-23.089918,5.36,345.18,206532402,2679372
2020,Asia,Mongolia,11.513578,117.730636,-106.217058,8.09,296.17,120458016,2154714
2021,Asia,Republic of Yemen,10.300096,265.300989,-255.000893,5.36,345.18,206532402,2679372
2020,Asia,Syria,9.953277,2.108352,7.844925,8.09,296.17,120458016,2154714
2021,Asia,Syria,8.809801,1.157741,7.65206,5.36,345.18,206532402,2679372
2019,Asia,Syria,5.954982,8.608956,-2.653974,3.68,274.48,0,0
2020,Asia,Kyrgyzstan,5.87584,32.48057,-26.60473,8.09,296.17,120458016,2154714
2021,Asia,Kyrgyzstan,5.707621,31.224406,-25.516785,5.36,345.18,206532402,2679372
2021,Asia,East Timor,5.532435,10.442742,-4.910307,5.36,345.18,206532402,2679372
2019,Asia,Kyrgyzstan,5.311746,20.824861,-15.513115,3.68,274.48,0,0
2019,Asia,East Timor,5.122102,4.789665,0.332437,3.68,274.48,0,0
2021,Asia,West Bank admin. by Israel,5.040349,1.952403,3.087946,5.36,345.18,206532402,2679372
2020,Asia,West Bank admin. by Israel,5.032052,2.055744,2.976308,8.09,296.17,120458016,2154714
2019,Asia,Republic of Yemen,4.769789,269.955378,-265.185589,3.68,274.48,0,0
2020,Asia,East Timor,4.539774,9.286427,-4.746653,8.09,296.17,120458016,2154714
2019,Asia,West Bank admin. by Israel,3.940119,3.335913,0.604206,3.68,274.48,0,0
2020,Asia,Republic of Yemen,3.910856,328.795078,-324.884222,8.09,296.17,120458016,2154714
2020,Asia,Iran,3.863444,36.295626,-32.432182,8.09,296.17,120458016,2154714
2019,Asia,Cocos (Keeling) Islands,2.500865,0.083233,2.417632,3.68,274.48,0,0
2019,Asia,Tajikistan,2.19812,11.343178,-9.145058,3.68,274.48,0,0
2020,Asia,Cocos (Keeling) Islands,1.506173,0.120398,1.385775,8.09,296.17,120458016,2154714
2019,Asia,Iran,1.410667,76.672584,-75.261917,3.68,274.48,0,0
2021,Asia,Christmas Island,1.308543,0.698148,0.610395,5.36,345.18,206532402,2679372
2021,Asia,Iran,1.122098,36.10318,-34.981082,5.36,345.18,206532402,2679372
2021,Asia,Gaza Strip admin. by Israel,1.115205,0.167026,0.948179,5.36,345.18,206532402,2679372
2021,Asia,Cocos (Keeling) Islands,1.114317,0.748225,0.366092,5.36,345.18,206532402,2679372
2020,Asia,Tajikistan,0.85604,7.544862,-6.688822,8.09,296.17,120458016,2154714
2021,Asia,Tajikistan,0.820178,12.258655,-11.438477,5.36,345.18,206532402,2679372
2019,Asia,British Indian Ocean Terr.,0.799412,23.005328,-22.205916,3.68,274.48,0,0
2019,Asia,Bhutan,0.6083,2.836096,-2.227796,3.68,274.48,0,0
2019,Asia,Christmas Island,0.483562,1.596433,-1.112871,3.68,274.48,0,0
2020,Asia,Christmas Island,0.465737,1.978191,-1.512454,8.09,296.17,120458016,2154714
2020,Asia,Bhutan,0.420803,2.857352,-2.436549,8.09,296.17,120458016,2154714
2021,Asia,Bhutan,0.346652,5.672966,-5.326314,5.36,345.18,206532402,2679372
2021,Asia,British Indian Ocean Terr.,0.306096,5.799248,-5.493152,5.36,345.18,206532402,2679372
2020,Asia,Gaza Strip admin. by Israel,0.25341,0.254478,-0.001068,8.09,296.17,120458016,2154714
2019,Asia,Gaza Strip admin. by Israel,0.206487,0.076797,0.12969,3.68,274.48,0,0
2020,Asia,British Indian Ocean Terr.,0.167799,7.299945,-7.132146,8.09,296.17,120458016,2154714
2021,Central America,Costa Rica,5958.556685,6584.542065,-625.98538,5.36,345.18,206532402,2679372
2020,Central America,Costa Rica,5358.696587,5689.742844,-331.046257,8.09,296.17,120458016,2154714
2019,Central America,Costa Rica,5152.92841,6217.844631,-1064.916221,3.68,274.48,0,0
2021,Central America,Honduras,4794.755561,5947.817575,-1153.062014,5.36,345.18,206532402,2679372
2019,Central America,Honduras,4790.537215,5419.479965,-628.94275,3.68,274.48,0,0
2021,Central America,Nicaragua,4240.55484,1914.241402,2326.313438,5.36,345.18,206532402,2679372
2021,Central America,Guatemala,4226.734805,7233.096868,-3006.362063,5.36,345.18,206532402,2679372
2019,Central America,Guatemala,3986.583302,6799.87743,-2813.294128,3.68,274.48,0,0
2020,Central America,Honduras,3858.308615,4202.536459,-344.227844,8.09,296.17,120458016,2154714
2019,Central America,Nicaragua,3857.856766,1618.327436,2239.52933,3.68,274.48,0,0
2020,Central America,Guatemala,3844.014318,5835.297121,-1991.282803,8.09,296.17,120458016,2154714
2020,Central America,Nicaragua,3562.920688,1424.117252,2138.803436,8.09,296.17,120458016,2154714
2019,Central America,El Salvador,2478.151873,3365.784368,-887.632495,3.68,274.48,0,0
