continent,year,month,US_imports,US_exports,US_trade_deficit,US_ unemployment_rate,US_housing_price_index,number_of_covid_cases_US,number_of_covid_deaths,global_container_freight_index
South and Central America,2019,Jul,10154.77899,12948.15549,2793.3765,3.7,277.43,0,0,1342
South and Central America,2019,Aug,8684.617766,13708.52599,5023.908224,3.7,277.48,0,0,1350
South and Central America,2019,Sep,8339.775506,12927.54198,4587.766474,3.5,278.17,0,0,1279
South and Central America,2019,Oct,8704.355203,14166.19505,5461.839847,3.6,278.27,0,0,1238
South and Central America,2019,Nov,8133.236986,14013.58808,5880.351094,3.6,278.71,0,0,1290
South and Central America,2019,Dec,9021.356799,13339.00083,4317.644031,3.6,279.34,0,0,1446
South and Central America,2020,Jan,8469.104714,13464.07436,4994.969646,3.5,280.38,4,0,1514
South and Central America,2020,Feb,7733.347128,12892.23611,5158.888982,3.5,283.64,66,2,1331
South and Central America,2020,Mar,8308.176664,12905.74477,4597.568106,4.4,286.34,212592,4947,1400
South and Central America,2020,Apr,5844.891317,8397.036848,2552.145531,14.7,288.64,878237,60329,1439
South and Central America,2020,May,5754.043545,7855.032661,2100.989116,13.2,289.54,743386,41797,1459
South and Central America,2020,Jun,6911.168165,8367.726881,1456.558716,11,293.23,860959,20649,1785
South and Central America,2020,Jul,7371.931636,9756.633872,2384.702236,10.2,296.61,1940971,30604,1762
South and Central America,2020,Aug,7696.946414,10031.53107,2334.584656,8.4,300.72,1478495,30610,1946
South and Central America,2020,Sep,7895.536458,9952.679181,2057.142723,7.9,304.59,1220261,21822,2247
South and Central America,2020,Oct,8546.339738,11542.86342,2996.523682,6.9,307.83,1935667,24008,2231
South and Central America,2020,Nov,7538.16108,11185.19479,3647.03371,6.7,310.16,4432394,41976,2443
South and Central America,2020,Dec,8873.970896,12477.53597,3603.565074,6.7,312.32,6373304,82375,3143
South and Central America,2021,Jan,7406.001966,12222.77586,4816.773894,6.4,315.03,6088193,97856,4087
South and Central America,2021,Feb,8096.325237,11358.69408,3262.368843,6.2,319.68,2342966,61920,4302
South and Central America,2021,Mar,9932.370193,13418.4451,3486.074907,6,327.16,1795768,32013,4111
South and Central America,2021,Apr,9786.754558,13281.12071,3494.366152,6,334.92,1844608,20769,4375
South and Central America,2021,May,9744.615041,14103.06004,4358.444999,5.8,342.48,897760,16312,5165
South and Central America,2021,Jun,10295.39023,14500.50294,4205.11271,5.9,348.93,392130,9505,6217
South and Central America,2021,Jul,10448.40661,15161.30726,4712.90065,5.4,353.89,1378269,9450,8848
South and Central America,2021,Aug,10697.24972,16172.28652,5475.0368,5.2,356.45,4245784,33309,10323
South and Central America,2021,Sep,11347.78628,14613.7306,3265.94432,4.7,358.8,4101005,54479,10839
South and Central America,2021,Oct,11184.61176,17319.90364,6135.29188,4.6,361.55,2433668,42996,10194
South and Central America,2021,Nov,10848.13807,15990.10103,5141.96296,4.2,361.59,2561250,30393,9353
South and Central America,2021,Dec,10848.13777,15990.10033,5141.96256,3.9,361.62,6340666,37560,9293
North America,2019,Jan,50912.28963,44668.57096,-6243.71867,4,264.58,0,0,1324
North America,2019,Feb,50468.59526,43406.83139,-7061.76387,3.8,266.36,0,0,1324
North America,2019,Mar,58674.81965,48170.64273,-10504.17692,3.8,269.34,0,0,1324
North America,2019,Apr,56967.9903,47602.24013,-9365.75017,3.6,272.38,0,0,1324
North America,2019,May,61116.16349,48802.87379,-12313.2897,3.6,275.21,0,0,1324
North America,2019,Jun,57844.86279,45569.7294,-12275.13339,3.6,276.47,0,0,1324
North America,2019,Jul,56723.74196,45678.73015,-11045.01181,3.7,277.43,0,0,1342
North America,2019,Aug,57527.63652,47249.70396,-10277.93256,3.7,277.48,0,0,1350
North America,2019,Sep,56138.67735,44924.86914,-11213.80821,3.5,278.17,0,0,1279
North America,2019,Oct,59476.921,47539.00808,-11937.91292,3.6,278.27,0,0,1238
North America,2019,Nov,54289.84303,44232.05184,-10057.79119,3.6,278.71,0,0,1290
North America,2019,Dec,54793.88329,41290.83351,-13503.04978,3.6,279.34,0,0,1446
North America,2020,Jan,53620.37434,43305.42306,-10314.95128,3.5,280.38,4,0,1514
North America,2020,Feb,53398.18842,42381.25921,-11016.92921,3.5,283.64,66,2,1331
North America,2020,Mar,55179.91201,43260.66381,-11919.2482,4.4,286.34,212592,4947,1400
North America,2020,Apr,30771.80131,27149.84392,-3621.95739,14.7,288.64,878237,60329,1439
North America,2020,May,30764.16907,25234.27099,-5529.89808,13.2,289.54,743386,41797,1459
North America,2020,Jun,46141.83519,35828.49004,-10313.34515,11,293.23,860959,20649,1785
North America,2020,Jul,51410.07143,39736.4647,-11673.60673,10.2,296.61,1940971,30604,1762
North America,2020,Aug,53533.50862,39839.49414,-13694.01448,8.4,300.72,1478495,30610,1946
North America,2020,Sep,54462.85079,42050.97325,-12411.87754,7.9,304.59,1220261,21822,2247
North America,2020,Oct,57991.60178,44058.18958,-13933.4122,6.9,307.83,1935667,24008,2231
North America,2020,Nov,53951.78727,41688.036,-12263.75127,6.7,310.16,4432394,41976,2443
North America,2020,Dec,54299.22106,42340.25679,-11958.96427,6.7,312.32,6373304,82375,3143
North America,2021,Jan,53583.27386,40832.54623,-12750.72763,6.4,315.03,6088193,97856,4087
North America,2021,Feb,52643.64394,43344.01983,-9299.62411,6.2,319.68,2342966,61920,4302
North America,2021,Mar,63197.2856,51493.94109,-11703.34451,6,327.16,1795768,32013,4111
North America,2021,Apr,59647.5376,47678.39481,-11969.14279,6,334.92,1844608,20769,4375
North America,2021,May,60453.17725,48232.2305,-12220.94675,5.8,342.48,897760,16312,5165
North America,2021,Jun,65151.05811,50799.08643,-14351.97168,5.9,348.93,392130,9505,6217
North America,2021,Jul,61887.22991,49356.41148,-12530.81843,5.4,353.89,1378269,9450,8848
North America,2021,Aug,63157.11487,49955.1631,-13201.95177,5.2,356.45,4245784,33309,10323
North America,2021,Sep,61838.9353,47422.77138,-14416.16392,4.7,358.8,4101005,54479,10839
North America,2021,Oct,65637.41854,51944.64494,-13692.7736,4.6,361.55,2433668,42996,10194
North America,2021,Nov,68374.14391,51719.74527,-16654.39864,4.2,361.59,2561250,30393,9353
North America,2021,Dec,71224.97593,51495.81933,-19729.1566,3.9,361.62,6340666,37560,9293
Canada,2019,Jan,23350.89076,22683.00402,-667.88674,4,264.58,0,0,1324
Canada,2019,Feb,22961.20885,23191.33144,230.12259,3.8,266.36,0,0,1324
Canada,2019,Mar,27572.34951,26448.46708,-1123.88243,3.8,269.34,0,0,1324
Canada,2019,Apr,26732.56784,25334.4448,-1398.12304,3.6,272.38,0,0,1324
Canada,2019,May,29197.25212,26157.82276,-3039.42936,3.6,275.21,0,0,1324
Canada,2019,Jun,27646.48055,24886.52567,-2759.95488,3.6,276.47,0,0,1324
Canada,2019,Jul,26762.31974,23465.44901,-3296.87073,3.7,277.43,0,0,1342
Canada,2019,Aug,26636.4632,25309.16769,-1327.29551,3.7,277.48,0,0,1350
Canada,2019,Sep,26853.37914,24307.37518,-2546.00396,3.5,278.17,0,0,1279
Canada,2019,Oct,28536.72938,25266.55452,-3270.17486,3.6,278.27,0,0,1238
Canada,2019,Nov,25242.29417,23430.11816,-1812.17601,3.6,278.71,0,0,1290
Canada,2019,Dec,27286.39049,22339.99723,-4946.39326,3.6,279.34,0,0,1446
Canada,2020,Jan,25320.6294,22551.199,-2769.4304,3.5,280.38,4,0,1514
Canada,2020,Feb,24361.49192,23210.39122,-1151.1007,3.5,283.64,66,2,1331
Canada,2020,Mar,25098.93021,23575.28909,-1523.64112,4.4,286.34,212592,4947,1400
Canada,2020,Apr,14954.90189,14735.95551,-218.94638,14.7,288.64,878237,60329,1439
Canada,2020,May,15850.42907,14830.14821,-1020.28086,13.2,289.54,743386,41797,1459
Canada,2020,Jun,20334.60754,20116.37629,-218.23125,11,293.23,860959,20649,1785
Canada,2020,Jul,22340.36936,21264.85677,-1075.51259,10.2,296.61,1940971,30604,1762
Canada,2020,Aug,23761.75971,22840.96793,-920.79178,8.4,300.72,1478495,30610,1946
Canada,2020,Sep,24605.66425,23335.82056,-1269.84369,7.9,304.59,1220261,21822,2247
Canada,2020,Oct,24878.40246,23615.50542,-1262.89704,6.9,307.83,1935667,24008,2231
Canada,2020,Nov,24087.27305,22431.35613,-1655.91692,6.7,310.16,4432394,41976,2443
Canada,2020,Dec,24718.9765,22884.47861,-1834.49789,6.7,312.32,6373304,82375,3143
Canada,2021,Jan,24542.33571,21349.50739,-3192.82832,6.4,315.03,6088193,97856,4087
Canada,2021,Feb,25215.60751,22297.84673,-2917.76078,6.2,319.68,2342966,61920,4302
Canada,2021,Mar,29798.12221,27985.42401,-1812.6982,6,327.16,1795768,32013,4111
Canada,2021,Apr,27470.2752,25119.96599,-2350.30921,6,334.92,1844608,20769,4375
Canada,2021,May,29082.60512,25432.44714,-3650.15798,5.8,342.48,897760,16312,5165
Canada,2021,Jun,32127.10432,26665.58314,-5461.52118,5.9,348.93,392130,9505,6217
Canada,2021,Jul,29978.86677,25695.42831,-4283.43846,5.4,353.89,1378269,9450,8848
Canada,2021,Aug,31068.67949,25774.12353,-5294.55596,5.2,356.45,4245784,33309,10323
Canada,2021,Sep,29790.78409,24638.67369,-5152.1104,4.7,358.8,4101005,54479,10839
Canada,2021,Oct,31279.56512,27471.6841,-3807.88102,4.6,361.55,2433668,42996,10194
Canada,2021,Nov,33752.54218,27630.50253,-6122.03965,4.2,361.59,2561250,30393,9353
Canada,2021,Dec,33752.62124,27630.50831,-6122.112929,3.9,361.62,6340666,37560,9293
Mexico,2019,Jan,27561.39887,21985.56694,5575.83193,4,264.58,0,0,1324
Mexico,2019,Feb,27507.38641,20215.49995,7291.88646,3.8,266.36,0,0,1324
Mexico,2019,Mar,31102.47015,21722.17565,9380.2945,3.8,269.34,0,0,1324
Mexico,2019,Apr,30235.42246,22267.79533,7967.62713,3.6,272.38,0,0,1324
Mexico,2019,May,31918.91137,22645.05103,9273.86034,3.6,275.21,0,0,1324
Mexico,2019,Jun,30198.38223,20683.20373,9515.1785,3.6,276.47,0,0,1324
Mexico,2019,Jul,29961.42223,22213.28114,7748.14109,3.7,277.43,0,0,1342
Mexico,2019,Aug,30891.17332,21940.53626,8950.63706,3.7,277.48,0,0,1350
Mexico,2019,Sep,29285.29821,20617.49396,8667.80425,3.5,278.17,0,0,1279
Mexico,2019,Oct,30940.19162,22272.45356,8667.73806,3.6,278.27,0,0,1238
Mexico,2019,Nov,29047.54886,20801.93368,8245.61518,3.6,278.71,0,0,1290
Mexico,2019,Dec,27507.4928,18950.83628,8556.65652,3.6,279.34,0,0,1446
Mexico,2020,Jan,28299.74495,20754.22406,7545.52089,3.5,280.38,4,0,1514
Mexico,2020,Feb,29036.69651,19170.86799,9865.82852,3.5,283.64,66,2,1331
