Data Table for Daily Death Trends - The United States,,,,
Date generated: Fri Jan 21 2022 14:01:23 GMT-0800 (Pacific Standard Time),,,,
State,Date,New Deaths,7-Day Moving Avg,Historic Deaths
United States,Dec 19 2020,2684,2749,0
United States,Dec 18 2020,2970,2709,0
United States,Dec 17 2020,3352,2745,0
United States,Dec 16 2020,3394,2651,0
United States,Dec 15 2020,2764,2649,0
United States,Dec 14 2020,2028,2618,0
United States,Dec 13 2020,2055,2617,0
United States,Dec 12 2020,2404,2554,0
United States,Dec 11 2020,3222,2546,0
United States,Dec 10 2020,2696,2461,0
United States,Dec  9 2020,3377,2466,0
United States,Dec  8 2020,2548,2382,0
United States,Dec  7 2020,2018,2358,0
United States,Dec  6 2020,1617,2298,0
United States,Dec  5 2020,2347,2251,0
United States,Dec  4 2020,2628,2130,0
United States,Dec  3 2020,2729,1994,0
United States,Dec  2 2020,2790,1843,0
United States,Dec  1 2020,2379,1774,0
United States,Nov 30 2020,1600,1703,0
United States,Nov 29 2020,1290,1684,0
United States,Nov 28 2020,1496,1689,0
United States,Nov 27 2020,1678,1718,0
United States,Nov 26 2020,1672,1763,0
United States,Nov 25 2020,2306,1798,0
United States,Nov 24 2020,1883,1735,0
United States,Nov 23 2020,1469,1693,0
United States,Nov 22 2020,1324,1635,0
United States,Nov 21 2020,1697,1595,0
United States,Nov 20 2020,1993,1561,0
United States,Nov 19 2020,1920,1458,0
United States,Nov 18 2020,1860,1380,0
United States,Nov 17 2020,1590,1331,0
United States,Nov 16 2020,1065,1279,0
United States,Nov 15 2020,1041,1263,0
United States,Nov 14 2020,1458,1242,0
United States,Nov 13 2020,1278,1187,0
United States,Nov 12 2020,1369,1190,0
United States,Nov 11 2020,1516,1167,0
United States,Nov 10 2020,1227,1138,466
United States,Nov  9 2020,958,1111,0
United States,Nov  8 2020,891,1081,0
United States,Nov  7 2020,1072,1056,0
United States,Nov  6 2020,1299,1037,0
United States,Nov  5 2020,1211,984,0
United States,Nov  4 2020,1310,969,0
United States,Nov  3 2020,1038,936,0
United States,Nov  2 2020,752,915,0
United States,Nov  1 2020,713,908,0
United States,Oct 31 2020,937,894,0
United States,Oct 30 2020,930,873,0
United States,Oct 29 2020,1108,876,0
United States,Oct 28 2020,1074,850,0
United States,Oct 27 2020,893,847,0
United States,Oct 26 2020,704,833,0
United States,Oct 25 2020,614,821,0
United States,Oct 24 2020,794,841,0
United States,Oct 23 2020,947,825,0
United States,Oct 22 2020,928,816,0
United States,Oct 21 2020,1049,785,0
United States,Oct 20 2020,797,754,0
United States,Oct 19 2020,620,734,0
United States,Oct 18 2020,755,718,0
United States,Oct 17 2020,683,693,0
United States,Oct 16 2020,882,693,0
United States,Oct 15 2020,715,680,0
United States,Oct 14 2020,827,683,0
United States,Oct 13 2020,656,679,0
United States,Oct 12 2020,508,677,0
United States,Oct 11 2020,583,681,0
United States,Oct 10 2020,683,683,0
United States,Oct  9 2020,790,664,0
United States,Oct  8 2020,735,682,0
United States,Oct  7 2020,804,685,0
United States,Oct  6 2020,642,668,0
United States,Oct  5 2020,531,691,0
United States,Oct  4 2020,602,675,0
United States,Oct  3 2020,547,661,0
United States,Oct  2 2020,916,679,0
United States,Oct  1 2020,754,658,0
United States,Sep 30 2020,690,657,0
United States,Sep 29 2020,803,688,0
United States,Sep 28 2020,419,667,0
United States,Sep 27 2020,503,690,0
United States,Sep 26 2020,673,686,0
United States,Sep 25 2020,767,683,0
United States,Sep 24 2020,744,691,0
United States,Sep 23 2020,909,689,0
United States,Sep 22 2020,656,716,0
United States,Sep 21 2020,581,734,0
United States,Sep 20 2020,473,716,0
United States,Sep 19 2020,654,754,0
United States,Sep 18 2020,822,754,0
United States,Sep 17 2020,733,763,0
United States,Sep 16 2020,1099,778,0
United States,Sep 15 2020,780,742,0
United States,Sep 14 2020,451,713,0
United States,Sep 13 2020,744,708,0
United States,Sep 12 2020,655,702,0
United States,Sep 11 2020,879,721,0
United States,Sep 10 2020,841,729,0
United States,Sep  9 2020,846,743,0
United States,Sep  8 2020,576,748,0
United States,Sep  7 2020,419,789,0
United States,Sep  6 2020,701,812,0
United States,Sep  5 2020,789,816,0
United States,Sep  4 2020,933,821,0
United States,Sep  3 2020,943,836,0
United States,Sep  2 2020,879,838,0
United States,Sep  1 2020,860,864,0
United States,Aug 31 2020,579,869,0
United States,Aug 30 2020,732,874,0
United States,Aug 29 2020,823,890,0
United States,Aug 28 2020,1038,914,0
United States,Aug 27 2020,958,913,0
United States,Aug 26 2020,1064,918,0
United States,Aug 25 2020,889,949,0
United States,Aug 24 2020,615,957,0
United States,Aug 23 2020,844,964,0
United States,Aug 22 2020,993,970,0
United States,Aug 21 2020,1029,963,0
United States,Aug 20 2020,995,968,0
United States,Aug 19 2020,1279,1000,0
United States,Aug 18 2020,950,1010,0
United States,Aug 17 2020,659,1031,0
United States,Aug 16 2020,886,1055,0
